Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
AALI,Astra Agro Lestari Tbk.,1997-12-09,1924688333.0,Utama,Consumer Non-Cyclicals,7950,15301272247350.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ABBA,Mahaka Media Tbk.,2002-04-03,3935892857.0,Pengembangan,Consumer Cyclicals,160,629742857120.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2002-04-03,2022-12-19
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,620806680.0,Pengembangan,Financials,6700,4159404756000.0,2021-11-01 09:00:00,2022-11-11 15:59:00,2020-04-16 09:00:00,2022-11-11 16:00:00,2001-04-16,2022-12-16
ABMM,ABM Investama Tbk.,2011-12-06,2753165000.0,Utama,Industrials,3540,9746204100000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2011-12-06,2022-12-19
ACES,Ace Hardware Indonesia Tbk.,2007-11-06,17150000000.0,Utama,Consumer Cyclicals,420,7203000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2007-11-06,2022-12-19
ACST,Acset Indonusa Tbk.,2013-06-24,12675160000.0,Utama,Infrastructures,162,2053375920000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2013-06-24,2022-12-19
ADCP,Adhi Commuter Properti Tbk.,2021-05-21,22222222200.0,Utama,Properties & Real Estate,67,1488888887400.0,2022-02-21 09:00:00,2022-12-19 15:59:00,2021-05-21 09:00:00,2022-12-19 15:00:00,2021-05-21,2022-12-19
ADES,Akasha Wira International Tbk.,1994-06-13,589896800.0,Pengembangan,Consumer Non-Cyclicals,7225,4262004380000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,3560849376.0,Utama,Infrastructures,498,1773302989248.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2004-03-18,2022-12-19
ADMF,Adira Dinamika Multi Finance T,2004-03-31,1000000000.0,Utama,Financials,9025,9025000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2004-03-31,2022-12-19
ADMG,Polychem Indonesia Tbk,1993-10-20,3889179559.0,Utama,Basic Materials,154,598933652086.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ADMR,Adaro Minerals Indonesia Tbk.,2022-01-03,40882331500.0,Pengembangan,Energy,1700,69499963550000.0,2022-01-03 09:00:00,2022-12-19 15:59:00,2022-01-03 09:00:00,2022-12-19 15:00:00,2022-01-03,2022-12-19
ADRO,Adaro Energy Indonesia Tbk.,2008-07-16,31985962000.0,Utama,Energy,3970,126984269140000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2008-07-16,2022-12-19
AGAR,Asia Sejahtera Mina Tbk.,2019-12-02,1000000000.0,Pengembangan,Consumer Non-Cyclicals,286,286000000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2019-12-02,2022-12-19
AGII,Aneka Gas Industri Tbk.,2016-09-28,3066660000.0,Utama,Basic Materials,2190,6715985400000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2016-09-28,2022-12-19
AGRO,Bank Raya Indonesia Tbk.,2003-08-08,22520054593.0,Utama,Financials,442,9953864130106.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2003-08-08,2022-12-19
AGRS,Bank IBK Indonesia Tbk.,2014-12-22,17481603282.0,Pengembangan,Financials,91,1590825898662.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2014-12-22,2022-12-19
AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14,2940000000.0,Pengembangan,Financials,80,235200000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
AIMS,Akbar Indo Makmur Stimec Tbk,2001-07-20,220000000.0,Pengembangan,Energy,212,46640000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-07-20,2022-12-19
AISA,FKS Food Sejahtera Tbk.,1997-06-11,9311800000.0,Utama,Consumer Non-Cyclicals,152,1415393600000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01,6449463636.0,Pengembangan,Consumer Cyclicals,50,322473181800.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2004-11-01,2022-12-19
AKPI,Argha Karya Prima Industry Tbk,1992-12-18,612248000.0,Pengembangan,Basic Materials,1315,805106120000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
AKRA,AKR Corporindo Tbk.,1994-10-03,20073474600.0,Utama,Energy,1340,26898455964000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13,720000000.0,Pengembangan,Transportation & Logistic,292,210240000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-07-13,2022-12-19
ALDO,Alkindo Naratama Tbk.,2011-07-12,1316856020.0,Pengembangan,Basic Materials,825,1086406216500.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2011-07-12,2022-12-19
ALKA,Alakasa Industrindo Tbk,1990-07-12,507665055.0,Pengembangan,Basic Materials,284,144176875620.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ALMI,Alumindo Light Metal Industry ,1997-01-02,3816000000.0,Pengembangan,Basic Materials,260,992160000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
ALTO,Tri Banyan Tirta Tbk.,2012-07-10,2191870558.0,Utama,Consumer Non-Cyclicals,50,109593527900.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2012-07-10,2022-12-19
AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23,5001552516.0,Pengembangan,Financials,364,1820565115824.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2005-12-23,2022-12-19
AMAN,Makmur Berkah Amanda Tbk.,2020-03-13,3873500000.0,Utama,Properties & Real Estate,720,2788920000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2020-03-13,2022-12-19
AMAR,Bank Amar Indonesia Tbk.,2020-01-09,13681871000.0,Pengembangan,Financials,274,3748832654000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2020-01-09,2022-12-19
AMFG,Asahimas Flat Glass Tbk.,1995-11-08,434000000.0,Utama,Industrials,5750,2495500000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
AMIN,Ateliers Mecaniques D Indonesi,2015-12-10,1080000000.0,Pengembangan,Industrials,108,116640000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2015-12-10,2022-12-19
AMMS,Agung Menjangan Mas Tbk.,2022-08-04,1200000000.0,Akselerasi,Consumer Non-Cyclicals,43,51600000000.0,2022-08-04 09:00:00,2022-12-19 15:59:00,2022-08-04 09:00:00,2022-12-19 15:00:00,2022-08-04,2022-12-19
AMOR,Ashmore Asset Management Indon,2020-01-14,2222222400.0,Pengembangan,Financials,1310,2911111344000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2020-01-14,2022-12-19
AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15,41524501700.0,Utama,Consumer Non-Cyclicals,2550,105887479335000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2009-01-15,2022-12-19
ANDI,Andira Agro Tbk.,2018-08-16,9350000000.0,Pengembangan,Consumer Non-Cyclicals,50,467500000000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2018-08-16,2022-12-19
ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08,3354175000.0,Utama,Consumer Non-Cyclicals,650,2180213750000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2013-05-08,2022-12-19
ANTM,Aneka Tambang Tbk.,1997-11-27,24030764725.0,Utama,Basic Materials,2040,49022760039000.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2001-04-16,2022-12-19
APEX,Apexindo Pratama Duta Tbk.,2013-06-05,2796804997.0,Pengembangan,Energy,210,587329049370.0,2021-11-01 09:00:00,2022-12-19 15:59:00,2020-04-16 09:00:00,2022-12-19 15:00:00,2013-06-05,2022-12-19
